gender,ages,category,rank,keyword,crawled_at
남성,40대,과자/베이커리,8,쫀득빵,2025-10-26 17:58:52
남성,40대,과자/베이커리,9,약과,2025-10-26 17:58:52
남성,40대,과자/베이커리,10,도라지정과,2025-10-26 17:58:52
남성,50대,농산물,1,쌀20kg,2025-10-26 17:59:09
남성,50대,농산물,2,쌀10kg,2025-10-26 17:59:09
남성,50대,농산물,3,사과,2025-10-26 17:59:09
남성,50대,농산물,4,송이버섯,2025-10-26 17:59:09
남성,50대,농산물,5,귤,2025-10-26 17:59:09
남성,50대,농산물,6,쌀,2025-10-26 17:59:09
남성,50대,농산물,7,고구마,2025-10-26 17:59:09
남성,50대,농산물,8,샤인머스켓,2025-10-26 17:59:09
남성,50대,농산물,9,곶감,2025-10-26 17:59:09
남성,50대,농산물,10,능이버섯,2025-10-26 17:59:09
남성,50대,음료,1,생수,2025-10-26 17:59:09
남성,50대,음료,2,레몬즙,2025-10-26 17:59:09
남성,50대,음료,3,두유,2025-10-26 17:59:09
남성,50대,음료,4,그릭요거트,2025-10-26 17:59:09
남성,50대,음료,5,탄산수,2025-10-26 17:59:09
남성,50대,음료,6,멸균우유,2025-10-26 17:59:09
남성,50대,음료,7,카누,2025-10-26 17:59:09
남성,50대,음료,8,맥심모카골드,2025-10-26 17:59:09
남성,50대,음료,9,빅토리아탄산수,2025-10-26 17:59:09
남성,50대,음료,10,쌍화차,2025-10-26 17:59:09
남성,50대,과자/베이커리,1,칸쵸,2025-10-26 17:59:09
남성,50대,과자/베이커리,2,메롱바,2025-10-26 17:59:09
남성,50대,과자/베이커리,3,빼빼로,2025-10-26 17:59:09
남성,50대,과자/베이커리,4,단백질바,2025-10-26 17:59:09
남성,50대,과자/베이커리,5,무화과호두파이,2025-10-26 17:59:09
남성,50대,과자/베이커리,6,약과,2025-10-26 17:59:09
남성,50대,과자/베이커리,7,추석선물,2025-10-26 17:59:09
남성,50대,과자/베이커리,8,다크초콜릿,2025-10-26 17:59:09
남성,50대,과자/베이커리,9,화과자,2025-10-26 17:59:09
남성,50대,과자/베이커리,10,한과,2025-10-26 17:59:09
남성,60대 이상,농산물,1,쌀20kg,2025-10-26 17:59:25
남성,60대 이상,농산물,2,쌀10kg,2025-10-26 17:59:25
남성,60대 이상,농산물,3,사과,2025-10-26 17:59:25
남성,60대 이상,농산물,4,고구마,2025-10-26 17:59:25
남성,60대 이상,농산물,5,귤,2025-10-26 17:59:25
남성,60대 이상,농산물,6,곶감,2025-10-26 17:59:25
남성,60대 이상,농산물,7,감홍사과,2025-10-26 17:59:25
남성,60대 이상,농산물,8,쌀,2025-10-26 17:59:25
남성,60대 이상,농산물,9,무화과,2025-10-26 17:59:25
남성,60대 이상,농산물,10,토마토,2025-10-26 17:59:25
남성,60대 이상,음료,1,생수,2025-10-26 17:59:25
남성,60대 이상,음료,2,탄산수,2025-10-26 17:59:25
남성,60대 이상,음료,3,멸균우유,2025-10-26 17:59:25
남성,60대 이상,음료,4,두유,2025-10-26 17:59:25
남성,60대 이상,음료,5,레몬즙,2025-10-26 17:59:25
남성,60대 이상,음료,6,카누,2025-10-26 17:59:25
남성,60대 이상,음료,7,맥심모카골드,2025-10-26 17:59:25
남성,60대 이상,음료,8,커피믹스,2025-10-26 17:59:25
남성,60대 이상,음료,9,그릭요거트,2025-10-26 17:59:25
남성,60대 이상,음료,10,무알콜맥주,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,1,두바이쫀득쿠키,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,2,화과자,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,3,칸쵸,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,4,할로윈사탕,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,5,빼빼로,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,6,두바이초콜릿,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,7,무화과호두파이,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,8,약과,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,9,메롱바,2025-10-26 17:59:25
남성,60대 이상,과자/베이커리,10,도라지정과,2025-10-26 17:59:25
남성,"10대, 20대",농산물,1,쌀20kg,2025-10-26 17:59:42
남성,"10대, 20대",농산물,2,쌀10kg,2025-10-26 17:59:42
남성,"10대, 20대",농산물,3,사과,2025-10-26 17:59:42
남성,"10대, 20대",농산물,4,송이버섯,2025-10-26 17:59:42
남성,"10대, 20대",농산물,5,고구마,2025-10-26 17:59:42
남성,"10대, 20대",농산물,6,귤,2025-10-26 17:59:42
남성,"10대, 20대",농산물,7,능이버섯,2025-10-26 17:59:42
남성,"10대, 20대",농산물,8,쌀,2025-10-26 17:59:42
남성,"10대, 20대",농산물,9,샤인머스켓,2025-10-26 17:59:42
남성,"10대, 20대",농산물,10,곶감,2025-10-26 17:59:42
남성,"10대, 20대",음료,1,레몬즙,2025-10-26 17:59:42
남성,"10대, 20대",음료,2,두유,2025-10-26 17:59:42
남성,"10대, 20대",음료,3,생수,2025-10-26 17:59:42
남성,"10대, 20대",음료,4,맥심모카골드,2025-10-26 17:59:42
남성,"10대, 20대",음료,5,그릭요거트,2025-10-26 17:59:42
남성,"10대, 20대",음료,6,쌍화차,2025-10-26 17:59:42
남성,"10대, 20대",음료,7,멸균우유,2025-10-26 17:59:42
남성,"10대, 20대",음료,8,생강청,2025-10-26 17:59:42
남성,"10대, 20대",음료,9,탄산수,2025-10-26 17:59:42
남성,"10대, 20대",음료,10,커피믹스,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,1,무화과호두파이,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,2,칸쵸,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,3,빼빼로,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,4,메롱바,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,5,다크초콜릿,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,6,단백질바,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,7,약과,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,8,한과,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,9,추석선물,2025-10-26 17:59:42
남성,"10대, 20대",과자/베이커리,10,무화과호두건강파이,2025-10-26 17:59:42
남성,"20대, 30대",농산물,1,쌀20kg,2025-10-26 17:59:59
남성,"20대, 30대",농산물,2,쌀10kg,2025-10-26 17:59:59
남성,"20대, 30대",농산물,3,사과,2025-10-26 17:59:59
남성,"20대, 30대",농산물,4,고구마,2025-10-26 17:59:59
남성,"20대, 30대",농산물,5,귤,2025-10-26 17:59:59
남성,"20대, 30대",농산물,6,감홍사과,2025-10-26 17:59:59
남성,"20대, 30대",농산물,7,생강,2025-10-26 17:59:59
남성,"20대, 30대",농산물,8,밤,2025-10-26 17:59:59
남성,"20대, 30대",농산물,9,쌀,2025-10-26 17:59:59
남성,"20대, 30대",농산물,10,토마토,2025-10-26 17:59:59
남성,"20대, 30대",음료,1,생수,2025-10-26 17:59:59
남성,"20대, 30대",음료,2,레몬즙,2025-10-26 17:59:59
남성,"20대, 30대",음료,3,두유,2025-10-26 17:59:59
남성,"20대, 30대",음료,4,멸균우유,2025-10-26 17:59:59
남성,"20대, 30대",음료,5,탄산수,2025-10-26 17:59:59
남성,"20대, 30대",음료,6,커피믹스,2025-10-26 17:59:59
남성,"20대, 30대",음료,7,카누,2025-10-26 17:59:59
남성,"20대, 30대",음료,8,맥심모카골드,2025-10-26 17:59:59
남성,"20대, 30대",음료,9,그릭요거트,2025-10-26 17:59:59
남성,"20대, 30대",음료,10,믹스커피,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,1,두바이쫀득쿠키,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,2,무화과호두파이,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,3,칸쵸,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,4,빼빼로,2025-10-26 17:59:59
남성,"20대, 30대",과자/베이커리,5,메롱바,2025-10-26 17:59:59
